,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
5,5,Sia,Courage to Change,Courage to Change,2MbgQKWhoii8bqsMBWWWgA,0.307,0.606,11,-5.567,0,0.0347,0.0,0.35700000000000004,0.11,78.828,292656,4,2
7,7,Ritt Momney,Put Your Records On,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,0.399,0.4920000000000001,6,-10.777,0,0.0538,0.00101,0.11,0.159,91.066,210463,4,2
17,17,John Legend,Bigger Love,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,0.557,0.585,8,-6.2010000000000005,1,0.0431,0.0,0.17600000000000002,0.305,63.392,196907,4,2
35,35,Katy Perry,Daisies,Daisies,4uqh9bualXNHXXwO2wPorc,0.639,0.546,1,-5.3820000000000014,1,0.0407,0.0,0.122,0.149,122.179,173124,4,2
48,48,R3HAB,Good Example (with Andy Grammer),Good Example (with Andy Grammer),5SspaMrPfWyRCS0GpjIxa6,0.456,0.496,1,-6.9860000000000015,1,0.0743,0.0,0.134,0.45,90.552,149053,4,2
67,67,Tones And I,Never Seen the Rain,Never Seen the Rain,2grAr8pWMuLWn8ZYEE9wDV,0.485,0.461,9,-5.646,1,0.0444,0.0,0.232,0.324,87.009,200756,4,2
78,78,Ritt Momney,Put Your Records On,Put Your Records On,1fah1uAs7HeTYDlNftKr3K,0.399,0.4920000000000001,6,-10.777,0,0.0538,0.00101,0.11,0.159,91.066,210463,4,2
119,119,Aloe Blacc,My Way,My Way,67CZNsG3SQ1S8O2BsjTo4R,0.619,0.557,10,-7.461,1,0.0433,0.0,0.112,0.378,74.007,210227,4,2
190,190,Swaine Delgado,Boulevard,Boulevard,56HZzvkgu1dG5AsSQmfEsR,0.644,0.519,5,-8.645,1,0.0306,0.26,0.16,0.253,119.965,177739,4,2
231,231,ELLIANA,Nirvana,Nirvana,11VPN6SfBRRmF2fESXlNep,0.479,0.402,4,-9.573,1,0.0311,4.11e-05,0.116,0.153,134.035,266036,4,2
232,232,COIN,Youuu,Youuu,0xORFaXxl07BtES8IAJ7OD,0.528,0.619,2,-6.959,1,0.0282,0.0,0.29100000000000004,0.0845,102.951,235267,4,2
237,237,Shoffy,Lenses,Let Go Today,3FUWD1PXnb6wxRpxqEp1zc,0.84,0.193,8,-11.186,1,0.0696,0.0,0.173,0.204,99.99,182400,4,2
247,247,ILLENIUM,Crashing (feat. Bahari),Crashing (feat. Bahari),7egj375ez0KtF3bYCfAHdZ,0.5820000000000001,0.6809999999999999,5,-6.138,1,0.0458,0.0,0.18600000000000005,0.273,95.995,230000,4,2
248,248,Chloe Lilac,Summer,Summer,7tsHqxfepei1AdLjy93XIv,0.639,0.531,4,-5.5310000000000015,1,0.0277,1.45e-06,0.111,0.318,112.926,178457,4,2
262,262,AURORA,The River,The River,7Ea5tyMeUFOvtJbXsqqtdm,0.569,0.738,2,-5.739,1,0.0374,0.0117,0.0996,0.242,94.967,217853,4,2
265,265,Wet,11 Hours (Branchez Remix),11 Hours - Branchez Remix,1BzdE75pSHlsqF2roxxEWk,0.687,0.35200000000000004,8,-8.229,1,0.0759,0.000151,0.133,0.155,122.955,156213,4,2
280,280,DJ Snake,Encore,Middle,0g5EKLgdKvNlln7TNqBByK,0.583,0.695,9,-5.336,1,0.0423,0.0,0.0527,0.224,104.879,220573,4,2
326,326,The Beatles,Abbey Road (Remastered),Here Comes The Sun - Remastered 2009,6dGnYIeXmHdcikdzNNDMm2,0.557,0.54,9,-10.484000000000002,1,0.0347,0.00248,0.179,0.394,129.171,185733,4,2
329,329,Colbie Caillat,Coco,Bubbly,0rFOs9paloAvEtzwDX1Kmc,0.6970000000000001,0.474,9,-6.6629999999999985,1,0.0351,0.0,0.11,0.249,127.904,196280,4,2
331,331,Norah Jones,Come Away With Me,Don't Know Why,6ybViy2qrO9sIi41EgRJgx,0.732,0.198,5,-11.775,1,0.028,1.1e-05,0.0659,0.618,88.17399999999998,186147,4,2
335,335,Norah Jones,Feels Like Home,Sunrise,7zkLpY72g6lKQbiHDqri1S,0.526,0.299,8,-13.797,1,0.031,0.097,0.106,0.679,156.84799999999996,200627,4,2
355,355,Tracy Chapman,Tracy Chapman,Fast Car,2M9ro2krNb7nr7HSprkEgo,0.711,0.292,4,-15.523,0,0.037000000000000005,0.0,0.131,0.194,103.951,296800,4,2
360,360,Israel Kamakawiwo'ole,Facing Future,Somewhere Over The Rainbow_What A Wonderful World,25U7raB3ZSszayTYClh4hF,0.6629999999999999,0.168,0,-13.725,1,0.0448,5.68e-05,0.361,0.6779999999999999,85.005,308027,4,2
365,365,Bon Iver,"For Emma, Forever Ago",Skinny Love,7fXyuQqEBwpKtCa8PomO7B,0.59,0.26,4,-14.065,0,0.0484,4.59e-06,0.117,0.112,77.118,238520,4,2
374,374,Bon Iver,Bon Iver,Holocene,05lBuZWQ2OhQuzoCSIkvUF,0.379,0.306,1,-14.446,1,0.0305,0.32299999999999995,0.123,0.157,147.90200000000004,336613,4,2
388,388,Subhi,In My Way,In My Way,0hvCEvyU6hIyg1EeWcXkGg,0.706,0.422,0,-8.649,1,0.0575,0.00958,0.0958,0.118,108.041,182222,4,2
396,396,Lucian,pink and blue,minty kisses,2JJV0UEimXPYHOEIZxLYAK,0.655,0.399,5,-11.015,1,0.0276,0.0,0.16699999999999998,0.5329999999999999,120.009,140680,4,2
420,420,Blond in Car,Where Things Don't Matter,Where Things Don't Matter,2jVHCsjLAXqDDOo68RkroY,0.602,0.5579999999999999,0,-6.795,1,0.0251,0.00275,0.108,0.211,106.006,244528,4,2
431,431,Gunna,WUNNA,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,0.825,0.458,0,-7.47,1,0.0577,0.0,0.102,0.161,145.115,197760,4,2
434,434,DJ Khaled,GREECE (feat. Drake),GREECE (feat. Drake),35RJhm1pEovTBwnNR0zWad,0.695,0.343,5,-10.798,1,0.0432,1.04e-06,0.107,0.229,85.84,218902,4,2
435,435,Ty Dolla $ign,Spicy (feat. Post Malone),Spicy (feat. Post Malone),5nWVyZaCwtfAkBnwDuXjBh,0.784,0.496,7,-5.746,1,0.0435,0.0,0.113,0.132,100.002,144028,4,2
452,452,Travis Scott,HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,3eekarcy7kvN4yt5ZFzltW,0.598,0.4270000000000001,7,-8.764,0,0.0317,5.83e-06,0.21,0.0605,76.469,175721,4,2
455,455,Trippie Redd,Pegasus,Sleepy Hollow,1ikNTTRcnmMOTDpespZsQ7,0.735,0.662,1,-7.862,1,0.05,0.0,0.153,0.124,87.999,101353,4,2
497,497,YNW Melly,We All Shine,Mixed Personalities (feat. Kanye West),6vWEAOUSxohKxhp0K1BsxL,0.6609999999999999,0.44,2,-9.104,1,0.0803,0.0,0.128,0.35200000000000004,149.937,230400,4,2
529,529,Train,Drops Of Jupiter,Drops of Jupiter (Tell Me),2hKdd3qO7cWr2Jo0Bcs0MA,0.468,0.64,0,-5.862,1,0.0275,0.0,0.154,0.499,79.297,259933,4,2
540,540,Bruno Mars,Unorthodox Jukebox,When I Was Your Man,0nJW01T7XtvILxQgC5J7Wh,0.612,0.28,0,-8.648,1,0.0434,0.0,0.08800000000000001,0.387,72.795,213827,4,2
541,541,Macklemore,GEMINI,Good Old Days (feat. Kesha),2Za1AlJNvksouPPWbXpR2X,0.7120000000000001,0.51,8,-8.162,1,0.0633,2.46e-05,0.112,0.268,122.964,240507,4,2
542,542,Rohail,Have You Ever Been to the Hills?,Have You Ever Been to the Hills?,09HqXIq2l6bYBndEfYCWBv,0.253,0.588,0,-9.027,1,0.0397,0.0,0.124,0.243,93.049,230580,4,2
557,557,Luke Combs,What You See Is What You Get,Better Together,1tSGw3h54aHModEHHL1HGK,0.552,0.225,0,-11.501,1,0.0477,0.0,0.111,0.67,138.002,219573,4,2
572,572,Post Malone,Stoney (Deluxe),Go Flex,5yuShbu70mtHXY0yLzCQLQ,0.665,0.498,5,-8.185,1,0.0832,0.0,0.0757,0.127,81.96700000000001,179613,4,2
599,599,Khalid,American Teen,American Teen,312WNtMs3F28cUukaPY9bo,0.6579999999999999,0.623,0,-6.934,1,0.0398,0.0,0.321,0.207,100.436,250747,4,2
600,600,Plain White T's,All That We Needed,Hey There Delilah,4RCWB3V8V0dignt99LZ8vH,0.6559999999999999,0.29100000000000004,2,-10.572,1,0.0293,0.0,0.114,0.298,103.971,232533,4,2
602,602,Kid Cudi,Man On The Moon: The End Of Day,Pursuit Of Happiness (Nightmare),5iSEsR6NKjlC9SrIJkyL3k,0.63,0.605,0,-8.951,1,0.0414,9.29e-05,0.298,0.266,115.277,295293,4,2
606,606,Dan + Shay,Dan + Shay,Speechless,3GJ4hzg4lrGwU51Y3VARbF,0.616,0.438,1,-5.968,1,0.0298,0.0,0.24,0.386,135.929,213387,4,2
608,608,Taylor Swift,Fearless,Fifteen,4t0OI7XrODjSkAu3bTPmWj,0.556,0.6509999999999999,7,-4.396,1,0.0266,0.0,0.145,0.203,95.485,294333,4,2
633,633,10cc,Tenology,I'm Not In Love,5Ws2EQtBiwpAcBYYSB14ns,0.385,0.622,4,-13.139,1,0.0569,0.00475,0.126,0.162,133.525,367240,4,2
650,650,Yusuf / Cat Stevens,Tea For The Tillerman (Remastered),Father And Son,2tbdjsdJ9xtyunKnZBkGxF,0.4970000000000001,0.343,7,-11.482,1,0.0369,3.13e-05,0.099,0.407,136.118,221000,4,2
705,705,Lou Reed,Transformer,Walk On the Wild Side,5p3JunprHCxClJjOmcLV8G,0.575,0.318,0,-16.729,1,0.109,0.000202,0.0934,0.385,104.522,254173,4,2
706,706,Canned Heat,On The Road Again,Going Up The Country,3iltRlox3jEeSKuqdW88EK,0.622,0.239,5,-18.982,0,0.0447,0.051,0.109,0.737,79.67399999999998,172867,4,2
708,708,Donovan,Sunshine Superman,Season of the Witch,6MOEQCtAWNSCmvg3SFKF5y,0.516,0.513,2,-10.762,1,0.0288,0.00957,0.0612,0.6940000000000001,99.735,293933,4,2
710,710,Paul Simon,Still Crazy After All These Years,50 Ways to Leave Your Lover,6Qb7gtV6Q4MnUjSbkFcopl,0.815,0.3720000000000001,7,-12.814,1,0.0752,0.000116,0.0767,0.293,101.684,217347,4,2
716,716,The Zombies,Odessey and Oracle,This Will Be Our Year,02KpkaZbiutsR0ucxce4Sh,0.535,0.424,9,-7.491,1,0.0314,0.0,0.191,0.539,97.506,127733,4,2
730,730,The Staple Singers,Soul Folk In Action,The Weight,00bOhb4584JjyfTiXX81mO,0.629,0.387,10,-13.667,1,0.0386,0.0,0.0479,0.4970000000000001,76.003,275640,4,2
756,756,The Chainsmokers,Paris,Paris,15vzANxN8G9wWfwAJLLMCg,0.6459999999999999,0.644,2,-6.763,1,0.031,0.0,0.0888,0.251,99.999,221520,4,2
