,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
2,2,Shawn Mendes,Wonder,Wonder,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1,-4.904,0,0.0581,1.8e-05,0.149,0.132,139.898,172693,4,3
14,14,ILLENIUM,Nightlight,Nightlight,06kxa3al7bUqRRo5nAFduZ,0.494,0.6509999999999999,11,-4.127,0,0.0384,0.0,0.104,0.162,149.97899999999996,222400,4,3
20,20,MisterWives,SUPERBLOOM,SUPERBLOOM,2HvtedoEeymVWrBPyAMNwZ,0.5579999999999999,0.889,8,-3.945,1,0.102,0.000387,0.328,0.716,170.102,213547,4,3
30,30,The Weeknd,After Hours,Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b,0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4,3
32,32,Kodaline,Wherever You Are,Wherever You Are,1b3nlcP6hogIzYRVK2Ui7K,0.514,0.612,4,-5.981,1,0.0298,0.0,0.0868,0.342,125.99,185005,4,3
34,34,Sia,Together,Together,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0806,0.0929,0.199,180.007,205208,4,3
36,36,Various Artists,SCOOB! The Album,On Me (feat. Ava Max),7k6tAZp4m93oswrPqSfBbc,0.5479999999999999,0.721,8,-4.466,1,0.0472,0.0,0.21600000000000005,0.594,177.918,164683,4,3
37,37,Kygo,Lose Somebody,Lose Somebody,7xbWAw3LMgRMn4omR5yVn3,0.58,0.586,1,-6.882999999999999,1,0.0357,0.0,0.0755,0.507,147.988,199549,4,3
45,45,Bastille,Joy,Joy,3QpkbrYXtlU3LRJu3sTK6V,0.5589999999999999,0.915,9,-4.811,1,0.132,0.0,0.113,0.361,117.914,192523,4,3
49,49,Niall Horan,Heartbreak Weather,Black And White,7rpNuuoMbid56XkDsx2FjE,0.443,0.5820000000000001,2,-6.02,1,0.0482,0.0,0.127,0.239,147.589,193090,4,3
61,61,ILLENIUM,ASCEND,In Your Arms (with X Ambassadors),70YPzqSEwJvAIQ6nMs1cjY,0.404,0.8059999999999999,2,-4.75,1,0.0496,0.0,0.114,0.112,148.036,220730,4,3
63,63,Drax Project,Catching Feelings (feat. Six60),Catching Feelings (feat. Six60),02VHspkXhhH1QCInRWWIfr,0.397,0.524,3,-5.846,1,0.103,0.0,0.157,0.343,175.562,218854,4,3
73,73,Gryffin,All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),4Gcv5SsxnQWpmOnUI19EJk,0.513,0.7879999999999999,0,-4.629,1,0.0364,0.0,0.11,0.234,139.987,238459,4,3
75,75,Hozier,Almost (Sweet Music),Almost (Sweet Music),7nDYw1nNAW4dAqgmW2W3tq,0.384,0.6890000000000001,7,-5.598,1,0.197,2.24e-06,0.204,0.7020000000000001,179.82299999999995,217480,4,3
79,79,Shawn Mendes,Wonder,Wonder,5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1,-4.904,0,0.0581,1.8e-05,0.149,0.132,139.898,172693,4,3
81,81,Engelwood,Yacht World,Tasty Jam,6smHuWvMAMQfVO855qtTDw,0.57,0.952,7,-5.365,1,0.0855,0.579,0.0907,0.529,191.923,130025,4,3
104,104,Ava Max,Who's Laughing Now,Who's Laughing Now,73h4oe03sZy8bXfQLfnqMv,0.648,0.6409999999999999,7,-5.521,1,0.0389,3.63e-06,0.109,0.505,184.021,180348,4,3
116,116,The Vamps,Meet The Vamps,Somebody To You,6VrLYoQKdhu1Jruei06t65,0.526,0.818,3,-5.952000000000001,1,0.0358,0.0,0.333,0.8959999999999999,171.96,185098,4,3
128,128,Surfaces,Learn To Fly (with Elton John),Learn To Fly,518miTxc3a15X7HB8FgJUW,0.569,0.536,1,-6.1370000000000005,1,0.0819,0.0,0.0655,0.6559999999999999,173.695,209833,4,3
131,131,Sia,Together,Together,5id3Rqn7SPj1LX4FfY4nGz,0.521,0.877,7,-5.444,1,0.0683,0.0806,0.0929,0.199,180.007,205208,4,3
136,136,Various Artists,SCOOB! The Album,On Me (feat. Ava Max),7k6tAZp4m93oswrPqSfBbc,0.5479999999999999,0.721,8,-4.466,1,0.0472,0.0,0.21600000000000005,0.594,177.918,164683,4,3
