,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
4,4,Fleetwood Mac,Rumours (Super Deluxe),Dreams - 2004 Remaster,0ofHAoxe9vBkTCp2UQIavz,0.828,0.4920000000000001,0,-9.744,1,0.0276,0.00428,0.128,0.789,120.151,257800,4,6
6,6,Bastille,survivin',survivin',1lwvJQGhdq6Kyr4BBquf23,0.787,0.78,7,-5.023,1,0.129,0.0,0.0908,0.68,95.035,173206,4,6
9,9,Joji,Nectar,Your Man,6Vgtvd7I5yopJdBuxqjBd2,0.785,0.818,7,-8.711,1,0.099,0.149,0.149,0.0503,117.98,163759,4,6
13,13,Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.6759999999999999,0.7859999999999999,1,-4.529,1,0.0478,0.0,0.0943,0.483,125.983,218359,4,6
21,21,Harry Styles,Fine Line,Adore You,3jjujdWJ72nww5eGnfs2E7,0.6759999999999999,0.7709999999999999,8,-3.675,1,0.0483,7.000000000000002e-06,0.102,0.569,99.048,207133,4,6
23,23,Sam Smith,Dancing With A Stranger (with Normani),Dancing With A Stranger (with Normani),6Qs4SXO9dwPj5GKvVOv8Ki,0.741,0.52,8,-7.513,1,0.0656,1.97e-06,0.222,0.34700000000000003,102.998,171030,4,6
24,24,Jason Derulo,Take You Dancing,Take You Dancing,59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0.0,0.0876,0.753,112.985,190306,4,6
25,25,Joel Corry,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),6cx06DFPPHchuUAcTxznu9,0.7340000000000001,0.8740000000000001,8,-3.158,1,0.0662,1.14e-05,0.0489,0.905,122.953,166028,4,6
26,26,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58e-05,0.126,0.322,86.97,191406,4,6
33,33,Lady Gaga,Rain On Me (with Ariana Grande),Rain On Me (with Ariana Grande),24ySl2hOPGCDcxBxFIqWBu,0.672,0.855,9,-3.764,1,0.0397,0.0,0.32299999999999995,0.6459999999999999,123.056,182200,4,6
38,38,Social House,Magic In The Hamptons (feat. Lil Yachty),Magic In The Hamptons (feat. Lil Yachty),2Yer0p7uB2lVBUAtANuuQp,0.769,0.479,1,-5.339,1,0.0385,0.0,0.0914,0.8029999999999999,96.051,164640,4,6
39,39,Marshmello,Be Kind (with Halsey),Be Kind (with Halsey),3Z8FwOEN59mRMxDCtb8N0A,0.63,0.633,4,-7.087999999999999,1,0.0457,0.0,0.0541,0.452,93.995,172762,4,6
40,40,PUBLIC,Make You Mine,Make You Mine,5iFwAOB2TFkPJk8sMlxP8g,0.606,0.799,9,-4.452,1,0.0261,0.0,0.15,0.638,103.014,232907,4,6
42,42,Kygo,Freedom,Freedom,5Gj1wG8b12VQdEd3hUuSwo,0.715,0.635,7,-6.591,1,0.0791,0.0,0.0862,0.39,112.887,198635,4,6
44,44,FINNEAS,Let’s Fall In Love For The Night,Let's Fall in Love for the Night,7kQkmyoHCEqwe7QwDbkSXM,0.737,0.408,5,-7.941,1,0.104,0.0,0.171,0.374,127.921,190348,4,6
46,46,OneRepublic,Better Days,Better Days,2K0r5GD5zYlEMx2M7ZMcqG,0.626,0.726,5,-5.015,1,0.0376,0.0,0.304,0.257,89.132,144530,4,6
47,47,Hailee Steinfeld,I Love You’s,I Love You's,28Tv8zltFDr5wBCG3Pfky4,0.682,0.7829999999999999,8,-4.997,1,0.18,0.0,0.206,0.32299999999999995,106.899,216084,4,6
51,51,Surfaces,Horizons,Take It Easy,5Pgq1Gfeth2CuUhyCXwlfC,0.765,0.6890000000000001,6,-5.6160000000000005,1,0.0456,7.39e-06,0.114,0.4970000000000001,144.958,212850,4,6
53,53,Lauv,~how i'm feeling~,Tattoos Together,0ycFQvBTfuo1LCdG0HhszL,0.862,0.4,4,-7.4860000000000015,1,0.0736,7.49e-06,0.123,0.596,122.963,186613,4,6
54,54,Jonas Brothers,What A Man Gotta Do,What A Man Gotta Do,4wNIkl5XGiAACjFBlDWuSd,0.852,0.698,9,-7.206,1,0.0629,1.03e-06,0.0773,0.324,113.039,180645,4,6
55,55,Harry Styles,Watermelon Sugar,Watermelon Sugar,1e9oZCCiX42nJl0AcqriVo,0.5479999999999999,0.816,0,-4.209,1,0.0465,0.0,0.335,0.557,95.39,174000,4,6
57,57,Khalid,Up All Night,Up All Night,1mpD5Q8IM32I4bF6eCpU74,0.665,0.7120000000000001,1,-7.536,1,0.0527,0.0034200000000000003,0.102,0.669,93.989,157220,4,6
59,59,Surfaces,Where the Light Is,Sunday Best,1Cv1YLb4q0RzL6pybtaMLo,0.878,0.525,5,-6.832000000000002,1,0.0578,0.0,0.0714,0.6940000000000001,112.022,158571,4,6
60,60,Diplo,Lonely,Lonely,4fwo6czG5nvOQMzhOto1ya,0.738,0.7170000000000001,1,-5.121,1,0.0573,0.0,0.205,0.5,98.047,139813,4,6
62,62,Maroon 5,Memories,Memories,2b8fOow8UzyDFAE27YhOZM,0.764,0.32,11,-7.209,1,0.0546,0.0,0.0822,0.575,91.019,189486,4,6
64,64,James Arthur,Treehouse (feat. Shotty Horroh),Treehouse (feat. Shotty Horroh),6S1IgeHxxOT9qVWnmsdGxe,0.691,0.733,6,-5.02,1,0.0368,0.0,0.341,0.797,153.976,219933,4,6
65,65,Post Malone,Circles,Circles,4VginDwYTP2eaHJzO0QMjG,0.7040000000000001,0.758,0,-3.537,1,0.0402,0.00144,0.0924,0.534,120.003,214907,4,6
66,66,Freya Ridings,Castles,Castles,5o8lxcSYAj8uXTiIHoyyA9,0.672,0.752,4,-4.8660000000000005,1,0.0843,0.00047,0.056,0.429,116.945,211838,4,6
68,68,Andy Grammer,I Found You,I Found You,7jaDLcrbilPxoH4mIcYyB3,0.728,0.701,1,-6.58,1,0.0406,2.08e-05,0.181,0.413,137.97,151734,4,6
69,69,Kygo,Higher Love,Higher Love,6oJ6le65B3SEqPwMRNXWjY,0.693,0.6779999999999999,8,-7.159,1,0.0324,6.05e-06,0.101,0.404,103.952,228267,4,6
80,80,Sandro Cavazza,Lean On Me,Lean On Me,43Hit5V2BpPq2vxvca3ysc,0.799,0.419,6,-7.99,1,0.174,0.0,0.203,0.716,156.055,182497,4,6
82,82,BLACKPINK,THE ALBUM,Bet You Wanna (feat. Cardi B),7iAgNZdotu40NwtoIWJHFe,0.665,0.674,7,-5.188,1,0.161,0.0,0.0734,0.7020000000000001,111.516,159173,4,6
84,84,Ella Henderson,Dream On Me,Dream On Me,6vHE5zEPYdb0HUKRaIQ6tI,0.602,0.636,8,-6.584,1,0.0563,0.0,0.162,0.547,117.962,182276,4,6
86,86,Aloe Blacc,Hold On Tight,Hold On Tight,2xytFpmHqcz6UHp1sh0SoR,0.722,0.59,2,-7.512,1,0.0435,0.0,0.0793,0.368,104.931,228120,4,6
87,87,Augustine,Coast - Spotify Studio Oyster Recording,Coast - Spotify Studio Oyster Recording,23KRFSsLa3UQ8FMY6KQ63i,0.8190000000000001,0.655,9,-7.171,1,0.0487,0.00016,0.292,0.6809999999999999,120.01,172718,4,6
88,88,Kygo,Hot Stuff,Hot Stuff,00ETaeHUQ6lops3oWU1Wrt,0.6809999999999999,0.773,5,-5.749,1,0.14800000000000002,1.28e-06,0.11,0.429,119.961,199008,4,6
91,91,Seeb,Colourblind,Colourblind,08AK8kZVQIt5XRjgbbW4c3,0.5579999999999999,0.905,9,-4.121,1,0.0414,0.00055,0.325,0.362,102.905,158494,4,6
92,92,Jawsh 685,Sweet & Sour (feat. Lauv & Tyga),Sweet & Sour (feat. Lauv & Tyga),3ZWhRS2EJVL5B0IEzkcvZa,0.8270000000000001,0.73,1,-5.324,1,0.0934,1.35e-05,0.258,0.679,95.003,163228,4,6
94,94,Sigala,Lasting Lover,Lasting Lover,0DmAvNCAK08oCi7miSZUIY,0.6759999999999999,0.7859999999999999,1,-4.529,1,0.0478,0.0,0.0943,0.483,125.983,218359,4,6
95,95,HRVY,Good Vibes,Good Vibes,53kWAAfx7IopXRa31MQHB8,0.5579999999999999,0.877,10,-3.392,1,0.145,0.0,0.162,0.762,99.988,170280,4,6
96,96,Ofenbach,Head Shoulders Knees & Toes (feat. Norma Jean Martine),Head Shoulders Knees & Toes (feat. Norma Jean Martine),14ngWWxvUSnIMXgF6rzSk1,0.7979999999999999,0.828,2,-5.36,1,0.193,2.55e-06,0.121,0.6,124.962,156960,4,6
98,98,Kane Brown,Be Like That (feat. Swae Lee & Khalid),Be Like That - feat. Swae Lee & Khalid,5f1joOtoMeyppIcJGZQvqJ,0.727,0.626,7,-8.415,1,0.0726,2.58e-05,0.126,0.322,86.97,191406,4,6
