,Unnamed: 0,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0,0,MEDUZA,Paradise,Paradise (feat. Dermot Kennedy),6ft4hAq6yde8jPZY2i5zLr,0.632,0.595,8,-7.644,0,0.0401,0.0,0.209,0.435,124.114,167903,4,7
1,1,Ariana Grande,Positions,motive (with Doja Cat),5GkQIP5mWPi4KZLLXeuFTT,0.789,0.742,10,-5.664,0,0.0652,0.0,0.166,0.6609999999999999,116.965,167990,4,7
3,3,The Weeknd,In Your Eyes (Remix),In Your Eyes (feat. Kenny G) - Remix,1SySkCqhEG6Z68o2n07Bsr,0.606,0.7859999999999999,7,-3.854,0,0.0366,9.46e-05,0.0725,0.525,99.969,256551,4,7
8,8,Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0.0,0.295,0.6579999999999999,149.836,184905,4,7
10,10,Marshmello,OK Not To Be OK,OK Not To Be OK,0zzVTGyRrWpQu8Fr28NRAv,0.743,0.8370000000000001,1,-5.025,0,0.0649,0.0,0.0743,0.263,103.072,159863,4,7
11,11,MAX,Blueberry Eyes (feat. SUGA of BTS),Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,0.746,0.611,0,-7.034,0,0.101,0.000922,0.133,0.411,149.967,172245,4,7
15,15,Lukas Graham,Share That Love (feat. G-Eazy),Share That Love (feat. G-Eazy),44l9nnCVvOQBbWG6tDViKl,0.715,0.6579999999999999,11,-4.3039999999999985,0,0.106,0.0,0.0742,0.795,158.024,172399,4,7
16,16,Miley Cyrus,Midnight Sky,Midnight Sky,27ycaQnQAxaPiyeg3nr2aB,0.705,0.8140000000000001,4,-5.466,0,0.0346,0.00312,0.203,0.259,110.0,223279,4,7
18,18,Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582000000000002,0,0.0408,0.0191,0.0814,0.772,114.556,147071,4,7
19,19,BTS,Dynamite,Dynamite,0v1x6rN6JHRapa03JElljE,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4,7
22,22,BØRNS,Dopamine,Electric Love,2GiJYvgVaD2HtM8GqD9EgQ,0.611,0.797,6,-7.627000000000002,0,0.0533,0.00137,0.26,0.518,120.041,218107,4,7
27,27,Curtis Waters,Stunnin' (feat. Harm Franklin),Stunnin' (feat. Harm Franklin),2D0dj3hVkRQJCp63cxCPEx,0.885,0.685,11,-6.4289999999999985,0,0.0627,0.0,0.14800000000000002,0.937,99.954,144000,4,7
28,28,Dermot Kennedy,Giants,Giants,0l4AReW2LuX0yStPfgQgSR,0.579,0.8390000000000001,8,-5.409,0,0.0703,3.04e-05,0.201,0.589,158.141,177173,4,7
29,29,JAWNY,Honeypie,Honeypie,6JqYhSdTE4WbQrMXxPH5cD,0.742,0.6779999999999999,5,-4.605,0,0.192,0.0,0.151,0.927,115.05,135521,4,7
31,31,Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),6wXgnhpmOPEJ7cUweSyy2B,0.73,0.792,6,-5.33,0,0.13,0.0,0.101,0.745,99.039,170158,4,7
41,41,Alesso,Midnight (feat. Liam Payne),Midnight (feat. Liam Payne),4ZTTUAjJCd4NMZmIU7RB4c,0.5870000000000001,0.648,11,-6.9270000000000005,0,0.0439,0.0,0.115,0.281,144.028,220141,4,7
43,43,Surf Mesa,ily (i love you baby) (feat. Emilee),ily (i love you baby) (feat. Emilee),62aP9fBQKYKxi7PDXwcUAS,0.674,0.774,11,-7.567,0,0.0892,0.00188,0.393,0.33,112.05,176547,4,7
50,50,John Legend,Conversations in the Dark,Conversations in the Dark - John Legend vs. David Guetta,20d27F17AZOxTJOEHAVK2Y,0.5720000000000001,0.742,8,-4.589,0,0.0347,0.0,0.108,0.376,127.19,210236,4,7
52,52,Khalid,Know Your Worth,Know Your Worth,0TrPqhAMoaKUFLR7iYDokf,0.79,0.6940000000000001,9,-7.726,0,0.0708,0.00252,0.281,0.508,103.007,181436,4,7
56,56,Maren Morris,The Bones (with Hozier),The Bones - with Hozier,1yTTMcUhL7rtz08Dsgb7Qb,0.561,0.597,11,-6.0,0,0.0405,0.0,0.0979,0.355,76.82600000000002,197299,4,7
58,58,Niall Horan,Nice To Meet Ya,Nice To Meet Ya,3cphb8kdsjElYR7r5icK3H,0.591,0.841,4,-4.351,0,0.0304,0.0,0.395,0.392,109.034,158805,4,7
71,71,Martin Jensen,Nobody,Nobody,2qfEcCkEo5NscA9GL7ER72,0.6729999999999999,0.687,6,-5.295,0,0.0623,0.0,0.181,0.524,96.964,211040,4,7
72,72,Khalid,Free Spirit,Free Spirit,2kAIpGWnlFLQh48iut6Zzq,0.627,0.446,2,-9.477,0,0.0332,0.0007700000000000001,0.111,0.11,139.994,182080,4,7
74,74,Dominic Fike,"Don't Forget About Me, Demos",3 Nights,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,7,-6.5939999999999985,0,0.0897,0.0,0.104,0.877,151.891,177667,4,7
77,77,Nelly,Lil Bit,Lil Bit,0NmuYnjETG3u3qx0OmEJev,0.7070000000000001,0.6890000000000001,4,-7.097,0,0.0387,0.0,0.383,0.41,119.987,195962,4,7
83,83,Jawsh 685,Savage Love (Laxed - Siren Beat) [BTS Remix],Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.758,0.598,0,-5.695,0,0.0868,0.0,0.295,0.6579999999999999,149.836,184905,4,7
100,100,BTS,Dynamite,Dynamite,0v1x6rN6JHRapa03JElljE,0.746,0.765,6,-4.41,0,0.0993,0.0,0.0936,0.737,114.044,199054,4,7
101,101,Smith & Thell,Year of the Young,Year of the Young,6J7U49QGecWb3WqIqfSYc0,0.611,0.88,7,-6.5710000000000015,0,0.0378,1.01e-05,0.0598,0.7709999999999999,144.996,164200,4,7
102,102,Martin Jensen,At Least I Had Fun,At Least I Had Fun,7jqXDgGWkV4w2ctdb2g59o,0.794,0.706,5,-6.066,0,0.0382,0.0,0.0536,0.908,116.032,170614,4,7
105,105,MishCatt,Goofy,Goofy,32zrJNyJdpoMOqW7u3PEgo,0.752,0.636,4,-5.9,0,0.109,0.00237,0.191,0.56,170.11,200977,4,7
107,107,Dimitri Vegas & Like Mike,Say My Name,Say My Name,3GYlQmwfBDo7imFyGPhrl7,0.7290000000000001,0.7879999999999999,10,-4.832,0,0.0908,0.0,0.115,0.857,118.039,159536,4,7
108,108,Sabrina Carpenter,Let Me Move You (From the Netflix film Work It),Let Me Move You - From the Netflix film Work It,0roOLcll6SSTYZwsQFmXqP,0.624,0.628,4,-6.582000000000002,0,0.0408,0.0191,0.0814,0.772,114.556,147071,4,7
109,109,Arizona Zervas,NIGHTRIDER,NIGHTRIDER,72PFP54TZ9Tpj9dYQcb46D,0.66,0.755,0,-4.501,0,0.0469,0.0,0.102,0.862,145.94799999999995,156368,4,7
111,111,Kygo,What's Love Got to Do with It,What's Love Got to Do with It,3Be7CLdHZpyzsVijme39cW,0.75,0.664,8,-5.908,0,0.154,0.0,0.0632,0.617,105.023,208156,4,7
115,115,Seeb,Don't You Wanna Play?,Don't You Wanna Play?,15hhlasuVIxEZ3O0PxlRkT,0.5660000000000001,0.768,2,-4.458,0,0.0312,0.0,0.115,0.638,100.005,138733,4,7
118,118,Becky Hill,Heaven On My Mind (with Sigala),Heaven On My Mind (with Sigala),7bIq1v8svANsAys7I694Up,0.71,0.8909999999999999,0,-3.116,0,0.0749,0.0,0.365,0.705,125.024,192573,4,7
126,126,Benjamin Ingrosso,Shampoo,Shampoo,6pk6yfxGcMyeIVqW79iZo1,0.745,0.534,11,-10.815,0,0.102,0.0399,0.202,0.655,102.996,178835,4,7
129,129,Diplo,Diplo Presents Thomas Wesley Chapter 1: Snake Oil,Dance with Me (feat. Thomas Rhett & Young Thug),6AoHQqGnuwFk9ygWhzLRws,0.73,0.792,6,-5.33,0,0.13,0.0,0.101,0.745,99.039,170158,4,7
133,133,Daði Freyr,Think About Things,Think About Things,2iRniYXjMHKmwXqA2jYXP7,0.871,0.341,3,-8.932,0,0.0576,0.000124,0.0838,0.612,127.001,173386,4,7
138,138,Lennon Stella,Summer Feelings (feat. Charlie Puth),Summer Feelings (feat. Charlie Puth) - From 'SCOOB!' The Album,49dFIRQCQxPWgoH0m38XQ5,0.696,0.6859999999999999,5,-6.113,0,0.0309,0.0,0.174,0.7,115.982,160289,4,7
142,142,NOTD,I Don't Know Why,I Don't Know Why,0ZXdzaT1k688dkpNeEgQiV,0.499,0.898,8,-4.181,0,0.124,7.200000000000001e-06,0.0832,0.618,120.04,207668,4,7
145,145,Dan Talevski,Touch the Sky,Touch the Sky,3AQXqVgpSgXBkbzyThMlgq,0.633,0.6579999999999999,2,-5.824,0,0.0359,0.0,0.0944,0.369,110.063,210040,4,7
156,156,Tove Lo,Studio It’s Hits,I'm Coming,4C6EPWGYM3K3IIv4xzPL2X,0.65,0.625,0,-10.122,0,0.0359,0.000492,0.119,0.29600000000000004,118.966,196558,4,7
159,159,Ava Max,Kings & Queens,Kings & Queens,76nqCfJOcFFWBJN32PAksn,0.638,0.688,1,-4.056,0,0.0407,0.0,0.126,0.434,129.856,162399,4,7
163,163,Miss Li,Complicated,Complicated,1unYcdhNL2NwFl2kBSiaZ9,0.878,0.48,0,-7.089,0,0.0544,0.0,0.102,0.83,116.042,160411,4,7
166,166,Tom Gregory,Fingertips,Fingertips,0jh5NRR4gX9tsFMLFDhEmX,0.718,0.693,1,-5.375,0,0.0252,0.0,0.132,0.691,88.02600000000002,165430,4,7
168,168,Jubël,Blue Jeans,Blue Jeans,6KgZeNR9fab84NbLXa81cY,0.745,0.555,5,-6.806,0,0.052000000000000005,2.08e-05,0.262,0.6729999999999999,118.97,170357,4,7
177,177,Curtis Waters,Stunnin',Stunnin',2LUdpPCiiza6UQugipjMeS,0.906,0.604,11,-8.332,0,0.0746,0.0,0.255,0.899,99.996,144013,4,7
